{'dateTime', '2022-03-01T11,15,00', 'value', 149.52, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T11,30,00', 'value', 249.48, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T11,45,00', 'value', 213.15, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T12,0,00', 'value', 212.73, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T12,15,00', 'value', 144.27, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T12,30,00', 'value', 253.26, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T12,45,00', 'value', 197.82, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T13,0,00', 'value', 196.56, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T13,15,00', 'value', 259.56, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T13,30,00', 'value', 251.37, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T13,45,00', 'value', 160.44, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T14,0,00', 'value', 221.13, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T14,15,00', 'value', 232.89, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T14,30,00', 'value', 210.42, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T14,45,00', 'value', 234.15, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T15,0,00', 'value', 255.36, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T15,15,00', 'value', 240.66, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T15,30,00', 'value', 160.02, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T15,45,00', 'value', 215.46, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T16,0,00', 'value', 259.98, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T16,15,00', 'value', 152.88, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T16,30,00', 'value', 181.02, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T16,45,00', 'value', 212.94, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T17,0,00', 'value', 200.76, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T17,15,00', 'value', 178.71, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T17,30,00', 'value', 142.8, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T17,45,00', 'value', 92.82, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T18,0,00', 'value', 43.68, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T18,15,00', 'value', 9.45, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T18,30,00', 'value', -0.42, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T18,45,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T19,0,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T19,15,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T19,30,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T19,45,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T20,0,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T20,15,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T20,30,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T20,45,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
{'dateTime', '2022-03-01T21,0,00', 'value', -1.80, 'toU',2, 'timeOfUse',2, 'reactiveEnergyToU',0, 'quality', 0}
